regex,score
([^.?!]*)(\b((integrity)|(unfit))\b)([^.?!]*)((Odinga('s)?)|([@]RailaOdinga)),45
([^.?!]*)(\b((Odinga('s)?)|([@]RailaOdinga))\b)([^.?!]*)((liar)|(lies?)|(lying)|(lied)),46
([^.?!]*)(\b((liar)|(lies?)|(lying)|(lied))\b)([^.?!]*)((Odinga('s)?)|([@]RailaOdinga)),47
([^.?!]*)(\b((Odinga('s)?)|([@]RailaOdinga))\b)([^.?!]*)((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?)),48
([^.?!]*)(\b((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?))\b)([^.?!]*)((Odinga('s)?)|([@]RailaOdinga)),49
([^.?!]*)(\b(Kibaki('s)?)\b)([^.?!]*)((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?)),50
([^.?!]*)(\b(Kibaki('s)?)\b)([^.?!]*)((integrity)|(unfit)),52
([^.?!]*)(\b(Kibaki('s)?)\b)([^.?!]*)((liar)|(lies?)|(lying)|(lied)),54
([^.?!]*)(\b(Kibaki('s)?)\b)([^.?!]*)((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?)),56
([^.?!]*)(\b((attorney general muigai)|(ag muigai)|(AG Githu Muigai)|([@]Githumuigai))\b)([^.?!]*)((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?)),58
([^.?!]*)(\b((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?))\b)([^.?!]*)((attorney general muigai)|(ag muigai)|(AG Githu Muigai)|([@]Githumuigai)),59
([^.?!]*)(\b((attorney general muigai)|(ag muigai)|(AG Githu Muigai)|([@]Githumuigai))\b)([^.?!]*)((integrity)|(unfit)),60
([^.?!]*)(\b((integrity)|(unfit))\b)([^.?!]*)((attorney general muigai)|(ag muigai)|(AG Githu Muigai)|([@]Githumuigai)),61
([^.?!]*)(\b((attorney general muigai)|(ag muigai)|(AG Githu Muigai)|([@]Githumuigai))\b)([^.?!]*)((liar)|(lies?)|(lying)|(lied)),62
([^.?!]*)(\b((liar)|(lies?)|(lying)|(lied))\b)([^.?!]*)((attorney general muigai)|(ag muigai)|(AG Githu Muigai)|([@]Githumuigai)),63
([^.?!]*)(\b((attorney general muigai)|(ag muigai)|(AG Githu Muigai)|([@]Githumuigai))\b)([^.?!]*)((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?)),64
([^.?!]*)(\b((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?))\b)([^.?!]*)((attorney general muigai)|(ag muigai)|(AG Githu Muigai)|([@]Githumuigai)),65
([^.?!]*)(\b((Speaker Muturi('s)?)|([@]SpeakerJBMuturi))\b)([^.?!]*)((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?)),66
([^.?!]*)(\b((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?))\b)([^.?!]*)((Speaker Muturi('s)?)|([@]SpeakerJBMuturi)),67
([^.?!]*)(\b((Speaker Muturi('s)?)|([@]SpeakerJBMuturi))\b)([^.?!]*)((integrity)|(unfit)),68
([^.?!]*)(\b((integrity)|(unfit))\b)([^.?!]*)((Speaker Muturi('s)?)|([@]SpeakerJBMuturi)),69
([^.?!]*)(\b((Speaker Muturi('s)?)|([@]SpeakerJBMuturi))\b)([^.?!]*)((liar)|(lies?)|(lying)|(lied)),70
([^.?!]*)(\b((liar)|(lies?)|(lying)|(lied))\b)([^.?!]*)((Speaker Muturi('s)?)|([@]SpeakerJBMuturi)),71
([^.?!]*)(\b((Speaker Muturi('s)?)|([@]SpeakerJBMuturi))\b)([^.?!]*)((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?)),72
([^.?!]*)(\b((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?))\b)([^.?!]*)((Speaker Muturi('s)?)|([@]SpeakerJBMuturi)),73
([^.?!]*)(\b((Speaker Laboso('s)?)|([@]TeamJoyceLaboso))\b)([^.?!]*)((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?)),74
([^.?!]*)(\b((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?))\b)([^.?!]*)((Speaker Laboso('s)?)|([@]TeamJoyceLaboso)),75
([^.?!]*)(\b((Speaker Laboso('s)?)|([@]TeamJoyceLaboso))\b)([^.?!]*)((integrity)|(unfit)),76
([^.?!]*)(\b((integrity)|(unfit))\b)([^.?!]*)((Speaker Laboso('s)?)|([@]TeamJoyceLaboso)),77
([^.?!]*)(\b((Speaker Laboso('s)?)|([@]TeamJoyceLaboso))\b)([^.?!]*)((liar)|(lies?)|(lying)|(lied)),78
([^.?!]*)(\b((liar)|(lies?)|(lying)|(lied))\b)([^.?!]*)((Speaker Laboso('s)?)|([@]TeamJoyceLaboso)),79
([^.?!]*)(\b((Speaker Laboso('s)?)|([@]TeamJoyceLaboso))\b)([^.?!]*)((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?)),80
([^.?!]*)(\b((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?))\b)([^.?!]*)((Speaker Laboso('s)?)|([@]TeamJoyceLaboso)),81
([^.?!]*)(\b((Keriako Tobiko('s)?)|(DPP Tobiko('s)?)|([@]Keriakotobiko))\b)([^.?!]*)((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?)),82
([^.?!]*)(\b((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?))\b)([^.?!]*)((Keriako Tobiko('s)?)|(DPP Tobiko('s)?)|([@]Keriakotobiko)),83
([^.?!]*)(\b((Keriako Tobiko('s)?)|(DPP Tobiko('s)?)|([@]Keriakotobiko))\b)([^.?!]*)((integrity)|(unfit)),84
([^.?!]*)(\b((integrity)|(unfit))\b)([^.?!]*)((Keriako Tobiko('s)?)|(DPP Tobiko('s)?)|([@]Keriakotobiko)),85
([^.?!]*)(\b((Keriako Tobiko('s)?)|(DPP Tobiko('s)?)|([@]Keriakotobiko))\b)([^.?!]*)((liar)|(lies?)|(lying)|(lied)),86
([^.?!]*)(\b((liar)|(lies?)|(lying)|(lied))\b)([^.?!]*)((Keriako Tobiko('s)?)|(DPP Tobiko('s)?)|([@]Keriakotobiko)),87
([^.?!]*)(\b((Keriako Tobiko('s)?)|(DPP Tobiko('s)?)|([@]Keriakotobiko))\b)([^.?!]*)((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?)),88
([^.?!]*)(\b((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?))\b)([^.?!]*)((Keriako Tobiko('s)?)|(DPP Tobiko('s)?)|([@]Keriakotobiko)),89
([^.?!]*)(\b((Speaker Ethuro('s)?)|(Sen(ator)? Ethuro('s)?)|([@]Speakerethuro))\b)([^.?!]*)((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?)),90
([^.?!]*)(\b((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?))\b)([^.?!]*)((Speaker Ethuro('s)?)|(Sen(ator)? Ethuro('s)?)|([@]Speakerethuro)),91
([^.?!]*)(\b((Speaker Ethuro('s)?)|(Sen(ator)? Ethuro('s)?)|([@]Speakerethuro))\b)([^.?!]*)((integrity)|(unfit)),92
([^.?!]*)(\b((integrity)|(unfit))\b)([^.?!]*)((Speaker Ethuro('s)?)|(Sen(ator)? Ethuro('s)?)|([@]Speakerethuro)),93
([^.?!]*)(\b((Speaker Ethuro('s)?)|(Sen(ator)? Ethuro('s)?)|([@]Speakerethuro))\b)([^.?!]*)((liar)|(lies?)|(lying)|(lied)),94
([^.?!]*)(\b((liar)|(lies?)|(lying)|(lied))\b)([^.?!]*)((Speaker Ethuro('s)?)|(Sen(ator)? Ethuro('s)?)|([@]Speakerethuro)),95
([^.?!]*)(\b((Speaker Ethuro('s)?)|(Sen(ator)? Ethuro('s)?)|([@]Speakerethuro))\b)([^.?!]*)((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?)),96
([^.?!]*)(\b((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?))\b)([^.?!]*)((Speaker Ethuro('s)?)|(Sen(ator)? Ethuro('s)?)|([@]Speakerethuro)),97
([^.?!]*)(\b(gen(eral)? Mwathethe('s)?)\b)([^.?!]*)((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?)),98
([^.?!]*)(\b((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?))\b)([^.?!]*)(gen(eral)? Mwathethe('s)?),99
([^.?!]*)(\b(gen(eral)? Mwathethe('s)?)\b)([^.?!]*)((integrity)|(unfit)),100
([^.?!]*)(\b((integrity)|(unfit))\b)([^.?!]*)(gen(eral)? Mwathethe('s)?),101
([^.?!]*)(\b(gen(eral)? Mwathethe('s)?)\b)([^.?!]*)((liar)|(lies?)|(lying)|(lied)),102
([^.?!]*)(\b((liar)|(lies?)|(lying)|(lied))\b)([^.?!]*)(gen(eral)? Mwathethe('s)?),103
([^.?!]*)(\b(gen(eral)? Mwathethe('s)?)\b)([^.?!]*)((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?)),104
([^.?!]*)(\b((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?))\b)([^.?!]*)(gen(eral)? Mwathethe('s)?),105
([^.?!]*)(\b(Boinett('s)?)\b)([^.?!]*)((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?)),106
([^.?!]*)(\b((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?))\b)([^.?!]*)(Boinett('s)?),107
([^.?!]*)(\b(Boinett('s)?)\b)([^.?!]*)((integrity)|(unfit)),108
([^.?!]*)(\b((integrity)|(unfit))\b)([^.?!]*)(Boinett('s)?),109
([^.?!]*)(\b(Boinett('s)?)\b)([^.?!]*)((liar)|(lies?)|(lying)|(lied)),110
([^.?!]*)(\b((liar)|(lies?)|(lying)|(lied))\b)([^.?!]*)(Boinett('s)?),111
([^.?!]*)(\b(Boinett('s)?)\b)([^.?!]*)((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?)),112
([^.?!]*)(\b((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?))\b)([^.?!]*)(Boinett('s)?),113
([^.?!]*)(\b((parliament of Kenya)|(Kenyan parliament))\b)([^.?!]*)((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?)|(idiots)|(morons)),114
([^.?!]*)(\b((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?)|(idiots)|(morons))\b)([^.?!]*)((parliament of Kenya)|(Kenyan parliament)),115
([^.?!]*)(\b((integrity)|(unfit))\b)([^.?!]*)((parliament of Kenya)|(Kenyan parliament)),116
([^.?!]*)(\b((parliament of Kenya)|(Kenyan parliament))\b)([^.?!]*)((liars?)|(lies?)|(lying)|(lied)),117
([^.?!]*)(\b((liars?)|(lies?)|(lying)|(lied))\b)([^.?!]*)((parliament of Kenya)|(Kenyan parliament)),118
([^.?!]*)(\b((parliament of Kenya)|(Kenyan parliament))\b)([^.?!]*)((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?)),119
([^.?!]*)(\b((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?))\b)([^.?!]*)((parliament of Kenya)|(Kenyan parliament)),120
([^.?!]*)(\b((Kenyan National Assembly)|(National Assembly of Kenya)|([@]NAssemblyKE))\b)([^.?!]*)((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?)|(idiots)|(morons)),121
([^.?!]*)(\b((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?)|(idiots)|(morons))\b)([^.?!]*)((Kenyan National Assembly)|(National Assembly of Kenya)|([@]NAssemblyKE)),122
([^.?!]*)(\b((Kenyan National Assembly)|(National Assembly of Kenya)|([@]NAssemblyKE))\b)([^.?!]*)((integrity)|(unfit)),123
([^.?!]*)(\b((integrity)|(unfit))\b)([^.?!]*)((Kenyan National Assembly)|(National Assembly of Kenya)|([@]NAssemblyKE)),124
([^.?!]*)(\b((Kenyan National Assembly)|(National Assembly of Kenya)|([@]NAssemblyKE))\b)([^.?!]*)((liars?)|(lies?)|(lying)|(lied)),125
([^.?!]*)(\b((liars?)|(lies?)|(lying)|(lied))\b)([^.?!]*)((Kenyan National Assembly)|(National Assembly of Kenya)|([@]NAssemblyKE)),126
([^.?!]*)(\b((Kenyan National Assembly)|(National Assembly of Kenya)|([@]NAssemblyKE))\b)([^.?!]*)((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?)),127
([^.?!]*)(\b((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?))\b)([^.?!]*)((Kenyan National Assembly)|(National Assembly of Kenya)|([@]NAssemblyKE)),128
([^.?!]*)(\b((Senate of Kenya)|(Kenyan Senate)|([@]Senate_KE))\b)([^.?!]*)((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?)|(idiots)|(morons)),129
([^.?!]*)(\b((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?)|(idiots)|(morons))\b)([^.?!]*)((Senate of Kenya)|(Kenyan Senate)|([@]Senate_KE)),130
([^.?!]*)(\b((Senate of Kenya)|(Kenyan Senate)|([@]Senate_KE))\b)([^.?!]*)((integrity)|(unfit)),131
([^.?!]*)(\b((integrity)|(unfit))\b)([^.?!]*)((Senate of Kenya)|(Kenyan Senate)|([@]Senate_KE)),132
([^.?!]*)(\b((Senate of Kenya)|(Kenyan Senate)|([@]Senate_KE))\b)([^.?!]*)((liars?)|(lies?)|(lying)|(lied)),133
([^.?!]*)(\b((liars?)|(lies?)|(lying)|(lied))\b)([^.?!]*)((Senate of Kenya)|(Kenyan Senate)|([@]Senate_KE)),134
([^.?!]*)(\b((Senate of Kenya)|(Kenyan Senate)|([@]Senate_KE))\b)([^.?!]*)((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?)),135
([^.?!]*)(\b((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?))\b)([^.?!]*)((Senate of Kenya)|(Kenyan Senate)|([@]Senate_KE)),136
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)(economy),137
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((unemployment)|(jobless(ness)?)),139
([^.?!]*)(\b((unemployment)|(jobless(ness)?))\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),140
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)(poverty),141
([^.?!]*)(\b(poverty)\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),142
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((wages?)|(incomes?)),143
([^.?!]*)(\b((wages?)|(incomes?))\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),144
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((inflation)|(prices?)),145
([^.?!]*)(\b((inflation)|(prices?))\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),146
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)(deficit),147
([^.?!]*)(\b(deficit)\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),148
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)(tax(es)?),149
([^.?!]*)(\b(tax(es)?)\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),150
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((economic depression)|(recession)),151
([^.?!]*)(\b((economic depression)|(recession))\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),152
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)(nepotism),153
([^.?!]*)(\b(nepotism)\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),154
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((electoral fraud)|(election fraud)|(illegitimate elections?)|(voter fraud)|(voter? tampering)),155
([^.?!]*)(\b((electoral fraud)|(election fraud)|(illegitimate elections?)|(voter fraud)|(voter? tampering))\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),156
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)(election violence),157
([^.?!]*)(\b(election violence)\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),158
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)(tribalism),159
([^.?!]*)(\b(tribalism)\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),160
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)(diaspora),161
([^.?!]*)(\b(diaspora)\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),162
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)(freedoms?),163
([^.?!]*)(\b(freedoms?)\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),164
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((civil rights?)|(civil liberties)|(civil liberty)),165
([^.?!]*)(\b((civil rights?)|(civil liberties)|(civil liberty))\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),166
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)(human rights?),167
([^.?!]*)(\b(human rights?)\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),168
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((slums?)|(ghettos?)),169
([^.?!]*)(\b\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya))((slums?)|(ghettos?)),170
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((injustices?)|(justice)|(udhalimu)|(haki)),171
([^.?!]*)(\b((injustices?)|(justice)|(udhalimu)|(haki))\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),172
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)(rule of law),173
([^.?!]*)(\b(rule of law)\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),174
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)(inequality),175
([^.?!]*)(\b(inequality)\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),176
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((public health)|(health[\s]?care)),177
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((public health)|(health[\s]?care)),178
([^.?!]*)(\b((public health)|(health[\s]?care))\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),179
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((AIDS)|(HIV)),180
([^.?!]*)(\b((AIDS)|(HIV))\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),181
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((pollution)|(clean water)|(environment(al)?)|(drought)),182
([^.?!]*)(\b((pollution)|(clean water)|(environment(al)?)|(drought))\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),183
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((climate change)|(global warming)),184
([^.?!]*)(\b((climate change)|(global warming))\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),185
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((famine)|(food shortages?)),186
([^.?!]*)(\b((famine)|(food shortages?))\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),187
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((outbreaks?)|(epidemics?)),188
([^.?!]*)(\b((outbreaks?)|(epidemics?))\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),189
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((living conditions?)|(quality of life)),190
([^.?!]*)(\b((living conditions?)|(quality of life))\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),191
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((immigrants?)|(immigration)|(wahamiaji)),192
([^.?!]*)(\b((immigrants?)|(immigration)|(wahamiaji))\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),193
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((refugees?)|(wakimbizi)),194
([^.?!]*)(\b((refugees?)|(wakimbizi))\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),195
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((bribes?)|(bribery)|(graft)|(rushwa)|(Baksheesh)|(hongo)),196
([^.?!]*)(\b((bribes?)|(bribery)|(graft)|(rushwa)|(Baksheesh)|(hongo))\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),197
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((police corruption)|(police brutality)|(police violence)|(police abuses?)|(corrupt police)),198
([^.?!]*)(\b((police corruption)|(police brutality)|(police violence)|(police abuses?)|(corrupt police))\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),199
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((extra[\s]?judicial killings?)|(police killings?)),200
([^.?!]*)(\b((extra[\s]?judicial killings?)|(police killings?))\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),201
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((al-shabaab)|(al[\s]?shabaab)|(terrorism)|(terrorists?)|(extremists?)|(militants?)|(insurgents?)),202
